geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
2374,-23.4532884657222,-46.62153396003804
2375,-23.453937576461435,-46.62483293186277
2376,-23.457871655562947,-46.62814510817477
2377,-23.456584210240063,-46.63195211311054
2378,-23.451889521091818,-46.62941166642767
2401,-23.492941690466733,-46.62617257661918
2402,-23.487407382451423,-46.62640472701839
2403,-23.49379751249348,-46.6283671897686
2404,-23.491447554532893,-46.62916200000001
2405,-23.48968445648268,-46.63322417485143
2406,-23.488007547883562,-46.630631912300146
2407,-23.48466958974936,-46.62433059824575
2408,-23.48276244962204,-46.62742137468981
2409,-23.47899974770618,-46.62595252553521
2410,-23.475621688037396,-46.6233523477696
2411,-23.47525782722605,-46.62425519275492
2413,-23.48288052899767,-46.633971776992325
2415,-23.472399950314536,-46.6319562536788
2416,-23.479570309740897,-46.62929788120402
2417,-23.477688,-46.62988588703905
2418,-23.470740010271776,-46.628922525535216
2419,-23.477210014715183,-46.640155898003336
2420,-23.475742516783008,-46.6362672223152
2421,-23.473836147094502,-46.63275735858966
2422,-23.470895661117193,-46.63647620774424
2423,-23.468423395781628,-46.633719378988985
2430,-23.482295622540228,-46.647257882739886
2431,-23.487374551070445,-46.636450014570954
2432,-23.485350201079136,-46.63506103089878
2433,-23.481649126421033,-46.63640695038665
2434,-23.48321751101902,-46.638952601852424
2435,-23.480540704632947,-46.64162117430316
2436,-23.478826531089467,-46.63617437531019
2440,-23.478017956287147,-46.64814792395693
2441,-23.4732061992758,-46.641300372540236
2442,-23.473211060505506,-46.64419282278264
2443,-23.47280145045876,-46.647383118096826
2450,-23.49903434984708,-46.63758566214112
2451,-23.49888182745255,-46.64217369244472
2452,-23.50122948542905,-46.64410632722604
2460,-23.49079359320826,-46.63705127546312
2461,-23.492657807663427,-46.63905422148206
2462,-23.4922992223152,-46.641524333054406
2463,-23.487909700050515,-46.6449940582838
2464,-23.49011863474525,-46.65070318122806
2465,-23.480616568678517,-46.657837602833375
2466,-23.495238217746245,-46.64262322883605
2467,-23.491360739107844,-46.64646300721336
2468,-23.489016344292825,-46.64924576577411
2469,-23.485482000000005,-46.6454965022217
2470,-23.48496051927325,-46.649877894488924
2471,-23.481629538721194,-46.65255036767846
2472,-23.476243640313832,-46.655173304056746
2473,-23.47773754731954,-46.651622537192
2474,-23.477035903139225,-46.655676910915176
2475,-23.481059081597326,-46.64630746073055
2478,-23.47745354954124,-46.66045699195462
2479,-23.47475868656026,-46.65712728934156
2501,-23.514912288431223,-46.66118358067858
2508,-23.509848068295792,-46.66369014308379
2510,-23.513303713572625,-46.65187287029016
2511,-23.50989751721101,-46.652500545598585
2512,-23.51348580904842,-46.660015403831714
2513,-23.512731993753256,-46.655771479052405
2514,-23.510466575913178,-46.65406780280168
2515,-23.51025413849616,-46.65776977324141
2516,-23.50905623757864,-46.65976126103637
2517,-23.507028240637045,-46.66432660283339
2518,-23.50983702096192,-46.6661907077592
2519,-23.50210121569603,-46.657415904724814
2520,-23.501839133314668,-46.651536544034315
2521,-23.503728797810012,-46.66481451242137
2522,-23.50374946378896,-46.65929399999999
2523,-23.505382377329873,-46.655437500000005
2524,-23.50251148737661,-46.65043286878932
2525,-23.503032869828054,-46.64786106349182
2526,-23.503552737852758,-46.646898213428386
2530,-23.50084085068379,-46.66064152706442
2531,-23.50201602692021,-46.65290040605341
2532,-23.500071162502174,-46.65453784297998
2533,-23.496518975849764,-46.65612992867445
